Transactions,,,,,,,,,,,,,,Totals,,,,Fees,,Quantities,Total Cost,,,,Avg. Purchase Price,,,,Cash Balances,,,,Realised P/L,,,,Win/Loss,,Date Breakdown,,,,,Identifiers,Individual Platforms,,,,,,,,,,,,,,,,
Date,Action,Asset Ticker,Crypto URL Name,Quantity,Price,Fiat Fees,Currency,Platform,Asset Class,Sector,Country,Strategy,Notes,Total,"Total
(Fees Included)",Total (EUR),"Total 
(Fees Included) (EUR)",Fiat Fees,Fiat Fees (EUR),Rolling Quantity,Total Cost,"Total Cost
(Fees Included)",Total Cost (EUR),"Total Cost 
(Fees Included) (EUR)",Avg. Purchase Price,"Avg. Purchase Price
(Fees Included)",Avg. Purchase Price (EUR),"Avg. Purchase Price 
(Fees Included) (EUR)",Cash Balance,"Cash Balance
(Fees Included)",Cash Balance (EUR),"Cash Balance 
(Fees Included) (EUR)",Realised P/L,"Realised P/L
(Fees Included)",Realised P/L (EUR),"Realised P/L 
(Fees Included) (EUR)","Win/
Loss","Win/Loss
(Fees Included)",Day,Month,Year,MMM-YY,All,Asset_Platform,Platform Rolling Quantity,Platform Avg. Purchase Price,Platform Avg. Purchase Price (Fees Included),Platform Avg. Purchase Price (EUR),"Platform Avg. Purchase Price 
(Fees Included) (EUR)",Platform Realised P/L,Platform Realised P/L (Fees Included),Platform Realised P/L (EUR),"Platform Realised P/L 
(Fees Included) (EUR)",Costo nel tempo,Valore Cumulativo,Valore portafoglio,Valore cumulato portafoglio,Month,Year,,
19/07/2021,Buy,BIT:VECA,,"2,0000","53,65","0,00",EUR,Fineco,ETF,ETF,European Union,Core,,"107,30","107,30","107,30","107,30","0,00","0,00","2,00","-107,30","-107,30","-107,30","-107,30","53,65","53,65","53,65","53,65","4.203,45","4.203,45","4.203,45","4.203,45","0,00","0,00","0,00","0,00",,,30,07,2021,lug-21,All,BIT:VECA_Fineco,"2,00","53,65","53,65","53,65","53,65","0,00","0,00","0,00","0,00",107,827,107,,luglio,2021,107,5827
30/07/2021,Buy,LCCN.MI,,"6,0000","19,46","0,00",EUR,Fineco,ETF,ETF,China,Core,,"116,76","116,76","116,76","116,76","0,00","0,00","11,00","-116,76","-116,76","-116,76","-116,76","20,98","20,98","20,98","20,98","4.086,69","4.086,69","4.086,69","4.086,69","0,00","0,00","0,00","0,00",,,18,08,2021,ago-21,All,LCCN.MI_Fineco,"11,00","20,98","20,98","20,98","20,98","0,00","0,00","0,00","0,00",117,943,,,luglio,2021,117,5943
18/08/2021,Buy,ACWIA.MI,,"1,0000","134,24","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"134,24","134,24","134,24","134,24","0,00","0,00","2,00","-134,24","-134,24","-134,24","-134,24","129,83","129,83","129,83","129,83","3.952,45","3.952,45","3.952,45","3.952,45","0,00","0,00","0,00","0,00",,,17,09,2021,set-21,All,ACWIA.MI_Fineco,"2,00","129,83","129,83","129,83","129,83","0,00","0,00","0,00","0,00",134,1078,,649,agosto,2021,134,6078
17/09/2021,Buy,BIT:CSBGU7,,"1,0000","119,16","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"119,16","119,16","119,16","119,16","0,00","0,00","1,00","-119,16","-119,16","-119,16","-119,16","119,16","119,16","119,16","119,16","3.833,29","3.833,29","3.833,29","3.833,29","0,00","0,00","0,00","0,00",,,3,11,2021,nov-21,All,BIT:CSBGU7_Fineco,"1,00","119,16","119,16","119,16","119,16","0,00","0,00","0,00","0,00",119,1197,123,784,settembre,2021,119,6197
03/11/2021,Buy,BIT:CMOD,,"6,0000","18,90","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"113,40","113,40","113,40","113,40","0,00","0,00","6,00","-113,40","-113,40","-113,40","-113,40","18,90","18,90","18,90","18,90","3.719,89","3.719,89","3.719,89","3.719,89","0,00","0,00","0,00","0,00",,,2,12,2021,dic-21,All,BIT:CMOD_Fineco,"6,00","18,90","18,90","18,90","18,90","0,00","0,00","0,00","0,00",113,1310,135,897,novembre,2021,113,6310
02/12/2021,Buy,BIT:CMOD,,"5,0000","17,99","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"89,95","89,95","89,95","89,95","0,00","0,00","11,00","-89,95","-89,95","-89,95","-89,95","18,49","18,49","18,49","18,49","3.629,94","3.629,94","3.629,94","3.629,94","0,00","0,00","0,00","0,00",,,4,03,2022,mar-22,All,BIT:CMOD_Fineco,"11,00","18,49","18,49","18,49","18,49","0,00","0,00","0,00","0,00",90,1400,113,,dicembre,2021,90,6400
04/03/2022,Buy,ACWIA.MI,,"1,0000","134,57","0,00",EUR,Fineco,ETF,ETF,United States,Core,,"134,57","134,57","134,57","134,57","0,00","0,00","3,00","-134,57","-134,57","-134,57","-134,57","131,41","131,41","131,41","131,41","3.495,37","3.495,37","3.495,37","3.495,37","0,00","0,00","0,00","0,00",,,27,04,2023,apr-23,All,ACWIA.MI_Fineco,"3,00","131,41","131,41","131,41","131,41","0,00","0,00","0,00","0,00",135,1535,,1246,marzo,2022,135,6535
27/04/2023,Buy,BTCEUR,,"0,0038",26303,"0,00",EUR,Binance,Crypto,Crypto,United States,Play,,"98,90","98,90","98,90","98,90","0,00","0,00","0,00","-98,90","-98,90","-98,90","-98,90","26.352,40","26.352,40","26.352,40","26.352,40","-98,90","-98,90","-98,90","-98,90","0,00","0,00","0,00","0,00",,,27,04,2023,apr-23,All,BTCEUR_Binance,"0,00","26.303,00","26.303,00","26.303,00","26.303,00","0,00","0,00","0,00","0,00",99,1633,348,1585,aprile,2023,99,6633
24/03/2024,Buy,BTCEUR,,"0,0037","56.478,83","0,00",EUR,Nexo,Crypto,Crypto,United States,Play,,"206,83","206,83","206,83","206,83","0,00","0,00","0,01","-206,83","-206,83","-206,83","-206,83","41.158,87","41.158,87","41.158,87","41.158,87","-206,83","-206,83","-206,83","-206,83","0,00","0,00","0,00","0,00",,,24,03,2024,mar-24,All,BTCEUR_Nexo,"0,00","56.478,83","56.478,83","56.478,83","56.478,83","0,00","0,00","0,00","0,00",207,1840,339,1624,marzo,2024,207,6840
16/04/2024,Buy,BTCEUR,,"0,0004","59.311,00","0,00",EUR,Nexo,Crypto,Crypto,United States,Play,,"25,02","25,02","25,02","25,02","0,00","0,00","0,01","-25,02","-25,02","-25,02","-25,02","42.131,40","42.131,40","42.131,40","42.131,40","-231,84","-231,84","-231,84","-231,84","0,00","0,00","0,00","0,00",,,16,04,2024,apr-24,All,BTCEUR_Nexo,"0,00","56.771,35","56.771,35","56.771,35","56.771,35","0,00","0,00","0,00","0,00",25,1865,39,1624,aprile,2024,25,6865
16/04/2024,Buy,BTCEUR,,"0,0000","59.360,00","0,00",EUR,Nexo,Crypto,Crypto,United States,Play,,"0,13","0,13","0,13","0,13","0,00","0,00","0,01","-0,13","-0,13","-0,13","-0,13","42.136,02","42.136,02","42.136,02","42.136,02","-231,97","-231,97","-231,97","-231,97","0,00","0,00","0,00","0,00",,,16,04,2024,apr-24,All,BTCEUR_Nexo,"0,00","56.772,69","56.772,69","56.772,69","56.772,69","0,00","0,00","0,00","0,00",0,1865,0,1633,aprile,2024,0,6865
29/04/2024,Buy,BTCEUR,,"0,0001","53379,37","0,00",EUR,Nexo,Crypto,Crypto,United States,Play,,"5,34","5,34","5,34","5,34","0,00","0,00","0,01","-5,34","-5,34","-5,34","-5,34","42.277,00","42.277,00","42.277,00","42.277,00","-237,31","-237,31","-237,31","-237,31","0,00","0,00","0,00","0,00",,,29,04,2024,apr-24,All,BTCEUR_Nexo,"0,00","56.691,63","56.691,63","56.691,63","56.691,63","0,00","0,00","0,00","0,00",5,1871,9,1676,aprile,2024,5,6871
01/05/2024,Buy,BTCEUR,,"0,0005","54.585,15","0,00",EUR,Nexo,Crypto,Crypto,United States,Play,,"25,00","25,00","25,00","25,00","0,00","0,00","0,01","-25,00","-25,00","-25,00","-25,00","42.945,47","42.945,47","42.945,47","42.945,47","-262,31","-262,31","-262,31","-262,31","0,00","0,00","0,00","0,00",,,1,05,2024,mag-24,All,BTCEUR_Nexo,"0,00","56.483,88","56.483,88","56.483,88","56.483,88","0,00","0,00","0,00","0,00",25,1896,42,,maggio,2024,25,6896
19/06/2024,Buy,LCCN.MI,,"6,0000","14,68","0,00",EUR,Fineco,ETF,ETF,China,Core,,"88,08","88,08","88,08","88,08","0,00","0,00","17,00","-88,08","-88,08","-88,08","-88,08","18,76","18,76","18,76","18,76","3.407,29","3.407,29","3.407,29","3.407,29","0,00","0,00","0,00","0,00",,,19,06,2024,giu-24,All,LCCN.MI_Fineco,"17,00","18,76","18,76","18,76","18,76","0,00","0,00","0,00","0,00",88,1984,,1839,giugno,2024,88,6984
