Platform,Asset Ticker,Total Quantity Owned,Market Price,Total Market Value,Asset Class,Strategy,Country,Mese,Anno
Fineco,LCCN.MI,20,"20,66","413,2",ETF,Core,China,11,2025
Fineco,BIT:VECA,3,"53,38","160,14",ETF,Core,European Union,11,2025
Fineco,BIT:CSBGU7,1,"123,31","123,31",ETF,Core,United States,11,2025
Fineco,BIT:CMOD,11,"22,38","246,18",ETF,Core,United States,11,2025
Fineco,BIT:SWDA,32,"111,82","3578,24",ETF,Core,United States,11,2025
Fineco,EMXC.BE,16,"29,585","473,36",ETF,Core,Japan,11,2025
Mercury,Cash,1,"2413,88","2413,88",Cash,,United States,11,2025
Paypal,Cash,1,700,700,Cash,,Italy,11,2025
Revolut,Cash,1,11700,11700,Cash,,Italy,11,2025
Wise,Cash,1,5800,5800,Cash,,United States,11,2025
Youhodler,BTCEUR,"0,00127","95124,9761","120,81",Crypto,Play,United States,11,2025
